id;name;username;profile_pic_url;ig_url;tt_url;followers;country;industry;budget;female;male;age;interests;ai_match_score;ai_match_desc;engagement_rate
683989611c296f45ca6aeaea;silanmakeup;silanmakeup;https://imgigp.modash.io/v2?9gRRkBbg4nctjMDXek72QZVfwaM%2B9JyelB0J2IwjGfU5qrdIuBTqbpa5S%2B1WOkIwHAVH03R0TVmK0Oy0yObCmy4VO3mCax%2Bg0%2BTPTRSIG%2F3lGVl4raK69HoGk8s0vvSnw4sSGBL8PVN96rltJVTNe8o6zIMp7KZEYX9t8BFshn%2FQ1Iai0yxbGCddr6Yo37YH;;https://www.tiktok.com/@silanmakeup;2100000;DE;beauty;3000;71.37;28.63;18-24;;85;Silanmakeup is a fantastic choice for the beauty and cosmetics campaign due to her impressive TikTok presence focused on makeup, which is highlighted by millions of views and likes. Despite some content slightly straying off-topic, her engaging videos and genuine connection with her audience make her a valuable asset, especially with her experience in collaborating with leading beauty brands.;7.28
683989551c296f45ca6aea59;Paula Wolf 🐺;paulawwolf;https://imgigp.modash.io/v2?XkjVaNuuCZ%2BzpQtQYyuTHFo7gyb6lfPjUhIO1dCG%2Fyxs3WYJbRVN0FblCXok06jVHsZgl6YZ%2BzfA9mEAY2MFwOM21xSawpg9nxIQXvDwk5S43xJgPIhj9sNltGZdmK5zTqXqAgl%2F6hKGpq0NR%2BEADt8qYMz2XWWBVAYsVJSYSU3Q6amLljmQ%2BuBP4okR8%2Bl5;;https://www.tiktok.com/@paulawwolf;6700000;DE;beauty;5000;78.79;21.21;18-24;;95;Paula Wolf is a fantastic choice for our beauty campaign focused on color-changing lipsticks, with her TikTok showcasing makeup trends that beautifully highlight our product's features. Despite being based in Germany, her large, engaged audience promises high interaction, though her focus might occasionally drift from our brand message.;9.46
6839894c1c296f45ca6aea0c;ELENA ZOE;elena.zbt;https://imgigp.modash.io/v2?9gRRkBbg4nctjMDXek72QZVfwaM%2B9JyelB0J2IwjGfU5qrdIuBTqbpa5S%2B1WOkIwHAVH03R0TVmK0Oy0yObCm6lux%2BgEbLBYhWKy%2BGzbxVQMFAfUrZt8kiMgqaPs2M%2Fn%2Fn09xtxnfjyK0Z1INloY68o6zIMp7KZEYX9t8BFshn%2FQ1Iai0yxbGCddr6Yo37YH;;https://www.tiktok.com/@elena.zbt;1500000;DE;beauty;10000;43.18;56.82;18-24;;85;Elena Zoe is a dynamic TikTok influencer from Germany with a captivating social media presence, known for creating engaging and viral content, which is reflected in her high interaction rates. Her strong alignment with the beauty and cosmetics campaign focus is evident through her successful promotion of brands like Lancôme, providing visually appealing and authentic lifestyle content. While her experience is diverse, thereby slightly reducing a perfect score, her adaptability and influence significantly enhance the campaign's effectiveness.;12.07
683989311c296f45ca6ae95c;_luana_ktz;_luana_ktz;https://imgigp.modash.io/v2?4e7GkPsCtkrXRAYTZgKXbVo7gyb6lfPjUhIO1dCG%2Fyxs3WYJbRVN0FblCXok06jVHsZgl6YZ%2BzfA9mEAY2MFwKgaeg1MRPZkkR6xz0H2MPiTFSP3IOlYaYBpEdOtFDMrTqXqAgl%2F6hKGpq0NR%2BEADt8qYMz2XWWBVAYsVJSYSU3Q6amLljmQ%2BuBP4okR8%2Bl5;;https://www.tiktok.com/@_luana_ktz;1400000;DE;beauty;5000;58.09;41.91;18-24;;85;Luana is an outstanding candidate for the beauty campaign, with her impressive TikTok presence and substantial engagement. While a small part of her content doesn't directly relate to beauty, her posts demonstrate high aesthetic appeal and versatility, making her a strong fit for promoting the lipsticks effectively.;13.27
683989271c296f45ca6ae91d;Pati Valpati;pativalpati;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDbi%2FzCyzJZ6fg43%2BYylAG3qIZIkDiH6WMRivVhtZZwEI72euH9yMqlwjDoligHI640zQKPe9lZ6e3uuXB4mCGnwgNlJUwVYqIiahjW32e%2BqWA%3D%3D;https://www.instagram.com/pativalpati;;370949;DE;beauty;3000;79.29;20.71;18-24;Coffee, Tea & Beverages;85;Pati Valpati is an influential figure in the beauty industry, renowned for her strong presence on social media with a focus on skincare and cosmetics. Her Instagram is brimming with collaborations with major brands like MAC Cosmetics and Neutrogena, although her aesthetic might not be the most unique, it aligns with our campaign needs for high-quality, visually pleasing content. Her posts achieve high engagement, underscoring her substantial reach and effectiveness, despite a notable lack of personal makeup tutorials.;4.1
683989221c296f45ca6ae8fb;Jasmin ♡;jasminazizam;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDa6N%2F2cNrYhplCU7j8b6yVdEr93Y0e%2BObCQ3aaoHWSWjCjAMTTuy6Sr9Xd9KskTQBFlMc3Qf0bHl%2F%2BfY1yA2FH2Xt%2FYzeksBPYLUknr5ild2A%3D%3D;https://www.instagram.com/jasminazizam;;528799;DE;beauty;10000;71.65;28.35;18-24;Clothes, Shoes, Handbags & Accessories;90;Jasmin Azizam aligns exceptionally well with our Two Essence SPACE GLOW COLOUR CHANGING LIPSTICKS campaign. Her content seamlessly combines beauty and lifestyle aspects, presenting high-quality visuals that naturally captivate a beauty-conscious audience. While her profile is highly engaging, there might be room for diversifying her brand collaborations to reach even broader audiences.;2.15
6839891f997494ee26e2503e;SIBEL DEMIR;sibel_ersan;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDZ%2Fuc3eREMYRmlucP5lauWc%2Bg9cNmtggjR5AosZK92y9yJ9LPLqcwNuyILbM%2F%2BmRmKR9W6nYTm3n4LHwLeSHRroWwq5%2BhsabX0Nc9aXCBbcsw%3D%3D;https://www.instagram.com/sibel_ersan;;126273;DE;beauty;3000;88.9;11.1;25-34;Television & Film;75;Sibel Demir's profile is an excellent match for the Essence Space Glow Colour Changing Lipsticks campaign. As a well-known beauty and lifestyle influencer, her content is visually captivating and perfect for showcasing lipstick. While her recent focus on family and pregnancy may slightly divert from makeup, her strong presence and substantial engagement in the beauty community remain a significant asset.;8.74
6839890c1c296f45ca6ae8a8;greta-charlotte pf.;gretacharlottte;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDbi%2FzCyzJZ6fg43%2BYylAG3qJvTAs74XX%2FgAMhUMx%2B%2B9rEJXj%2BRCXpMVqZZDJZHAvkO5qXDVuOD1NwIfzdWCmUcDWwq5%2BhsabX0Nc9aXCBbcsw%3D%3D;https://www.instagram.com/gretacharlottte;;48523;DE;beauty;5000;91.35;8.65;18-24;Luxury Goods;85;Greta Charlotte Pf. is a superb fit for the beauty and cosmetics campaign with her visually cohesive profile and high engagement rates, such as 17,000 likes on a photo. Although she embraces fashion more than beauty, her collaborations with notable brands and a presence in industry circles suggest immense potential for beauty influence.;27.37
683988e11c296f45ca6ae774;JOLINA 🦋;jolinamennen;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDbi%2FzCyzJZ6fg43%2BYylAG3qkhyLf%2Fmn15hnYyk71E%2BZtZcAAgwAr9ZzU%2FLAV22ev2S%2BMe6HwFf25IMG%2Fb5ZdT5BgNlJUwVYqIiahjW32e%2BqWA%3D%3D;https://www.instagram.com/jolinamennen;;326345;DE;beauty;10000;89.68;10.32;18-24;Television & Film;90;Jolina Mennen's extensive collaborations with top beauty brands like NYX and Garnier, alongside her use of influential hashtags, ensure high content visibility and engagement for the campaign. However, her strong presence can sometimes overshadow less prominent brands. Her visually appealing profile and authentic style align perfectly with the Two Essence SPACE GLOW COLOUR CHANGING LIPSTICKS, promising to capture the target audience's attention effectively.;3.4
683988dc1c296f45ca6ae752;𝔼𝕤𝕥𝕖𝕗𝕒𝕟𝕚𝕒 𝕎𝕠𝕝𝕝𝕟𝕪 ღ;estefaniawollny21;https://imgigp.modash.io/v2?mb0KwpL92uYofJiSjDn1%2F6peL1lBwv3s%2BUvShHERlDY6%2BlN4nI8g5ywMDf0jnSXRar4THuj%2FweA7YewmWopOkNeyVPkcM2M4Cp00TWGxm0T%2FpGz9WG6633aMSO3M2gGjgNlJUwVYqIiahjW32e%2BqWA%3D%3D;https://www.instagram.com/estefaniawollny21;;513165;DE;beauty;5000;88.26;11.74;18-24;Shopping & Retail;78;Estefania Wollny's strong Instagram presence aligns with our campaign's need for an influential social media figure. Her audience is engaged, often showing substantial likes and comments, indicating a promising platform for beauty product exposure. However, while her content includes brand partnerships and personal expression, the mix of lifestyle posts might slightly dilute the beauty-centric focus of the campaign.;2.98
